subdistrict,pincode,Population Density(people per square kilometer),Forecasted Future Population Growth rate(Exponential Decay),Nearest Airport Distance in km,Nearest Railway Station Distance in km,Overall Rating(Ratings*Reviews)
Delisle Road,400013,43308.48329,-41.05,8.73,0.3,4132.8
Khar Delivery,400052,57514.42056,2.59,3.37,0.71,27465.9
Mumbai G.P.O.,400001,25984.6875,-82.86,12.33,3.09,64091.2
Mumbai Central,400008,53377.33391,-34.21,11.05,0.75,16052
Bhawani Shankar,400028,53044.19134,-33.7,6.54,0.54,36052.8
Haji Ali,400034,42926.35315,-39.85,10.84,0.45,15854.1
Vileparle(West),400056,55460.199,2.58,2.45,0.28,38019.6
Sharma Estate,400063,46775.31207,2.34,6.19,0.62,47755.7
Chakala Midc,400093,52891.63763,1.71,3.22,1.61,28299.6
Andheri East,400069,60579.30698,2.5,2.95,0.33,28802.5
Marine Lines,400020,49293.79157,-38.15,13.67,1.08,6023.6
Tilak Nagar,400089,54855.94512,2.22,3.03,0.57,26808.6
Nariman Point,400021,47473.14949,29.61,14.63,1.95,10741.4
Vihar Road,400072,47579.12032,2.19,2.32,2.25,26489.4
Bhandup West,400078,36436.33803,2.14,7.34,0.66,19626.6
Bandra West,400050,53555.99336,2.57,4.28,0.87,19034.4
Mumbai G.P.O.,400001,25984.6875,-82.86,12.33,3.09,28673.4
Borivali West,400092,7267.022901,1.75,13.59,4.35,50799
Kopri Colony,400603,35624.73423,16.29,11.96,0.57,11492.3
Ghatkopar West,400086,51203.09883,2.28,3.12,0.44,19764.9
Andheri,400053,33929.40476,2.1,5.92,2.06,33375.4
Vileeparle (East),400057,61196.07843,2.58,1.87,0.44,16905
Vidyanagari,400098,39747.66355,2.27,1.54,1.59,23469.6
Borivali,400091,42421.17647,1.6,12.14,1.51,5174.4
S.B. Road,400080,52696.47059,8.66,9.73,0.77,17268.7
Airport,400099,39855.09615,1.95,0.75,1.92,578.1
Nehru Nagar,400024,49330.72165,2.31,2.74,0.49,92.4
S.B. Road,400080,52696.47059,8.66,9.73,0.77,30614.7
Orlem,400064,59065.39017,2.04,8.67,0.59,22075.5
Chembur,400071,54507.11864,2.19,3.89,1.42,7442.4
Kandivali East,400101,31565.28302,204.88,9.67,1.32,23136.3
Kandivali RS,400067,36242.5,243.65,10.98,2.19,15123.1
Motilal Nagar,400104,46222.15686,213.39,7.03,0.82,27178.2
Mazgaon Dock,400010,36924.81203,-3196.11,10.37,0.94,1091.2
Oshiwara,400102,55420.31098,228.34,5.13,0.82,15254.1
Dahisar,400068,34506.04396,1392.33,14.54,0.46,47539.8
H.M.P. School,400058,56694.65649,274.01,3.68,0.67,24753.7
Jacob Circle,400011,54208.63309,-3400.12,9.96,0.35,159.6
Transit Camp,400022,47632.27069,205.93,3.96,0.52,144.4
Airoli,400708,8141.729323,2144.31,12.53,2.71,36801.6
Jekegram,400606,53277.2651,1772.79,13.17,2.52,10784.4
Naupada,400602,72311.30186,2447.31,12.49,0.68,56658
Thane,400601,54241.66947,16.14,13.76,1.52,36378.7
Sandozbaugh,400607,30483.63636,5.77,16.72,4.38,12550
NERUL NODE-III,400706,4923.779904,14.26,13.53,6.95,22261.9
Navi Mumbai,400703,8982.785714,13.75,12.08,5.99,2786.4
Sandozbaugh,400607,30483.63636,5.77,16.72,4.38,7254.1
Sanpada,400705,4887.44,13.42,12.56,5.9,45154.7
mira,401107,7600.325203,10.44,17.1,3.95,54189.7
Kopar Khairne,400709,5919.285714,15.14,10.71,5.79,20000.4
Ghansoli,400701,3574.017857,10.25,12.01,5.49,32011.7
Bhayander West,401101,8156.732394,14.75,17.8,2.06,16846.2
Poynad,401208,2195.112882,11.07,39.21,5.79,28669.2
kharghar,410210,4121.056911,3.66,16.65,2.7,70678.5
Kalamboli Node,410218,7045.555556,607.07,19.55,1.19,177340.8
Panvel,410206,677.2188211,1272.27,25.15,0.87,18412.8
Manpada,421204,2467.234043,2066.96,17.91,0.71,3495.9
Katemanivali,421306,18107.19512,2176.67,24.41,1.94,12117.4
Bassein,401202,9997.772277,3009.95,24.73,4.01,22185.1
Shastrinagar,421302,730.1171459,1519.39,31.17,10.09,18522
Badlapur E.D.,421503,16889.36747,1888.64,31.62,0.47,11789.4
Ramnagar,421201,9829.254658,1764,19.9,0.64,24888.4
Sopara,401203,6976.347032,1629.3,29.09,1.86,7513.8
Ambernath,421501,2362.192982,2223.92,24.16,5.63,3074.5
Kalyan City,421301,11399.71888,1859.28,25.68,1.52,35326.2
Shilphata,410203,790.704698,425.55,45.08,6.14,18388
Chinchwad East,411019,13087.22222,81.17,11.64,1.29,37137.8
Dapodi Bazar,411012,10122.88994,136.65,7.44,0.29,16060.8
NIBM,411048,18059.53668,1356.18,10.71,4.18,19811.4
T.V. Nagar,411037,39824.57143,2195.32,9.83,4.34,22381.9
Guruwar Peth,411042,53710.43627,1812.74,8.11,2.31,5535.6
Gondhale Nagar,411028,37001.911,155.82,6.52,1.69,23409.2
Pune,411001,21499.63768,1547.82,5.74,0.8,8815
Aundh T.S.,411007,7911.639344,521.17,8.4,1.7,28027.6
Chinchwadgaon,411033,3695.061224,181.59,14.5,2.2,23482.8
A.R. Shala,411004,32491.65563,-44946.15,8.87,1.75,56112
Kothrud,411038,11309.09091,-2.57,11.23,4.12,29908.2
Warje,411058,4042.758621,-103.29,13.75,6.62,24343.2
Loni Kalbhor,412201,588.5080645,533.36,14.61,1.01,11155.2
Vagholi,412207,397.9849812,2962.64,18.71,6.79,16890.4
Vadgaon Sheri,411014,25374.15584,65.34,2.18,2.67,12531.2
Pimpri Colony,411017,12266.07595,67.18,10.63,1.14,19696.4
Infotech Park,411057,2137.459584,144.35,16.13,5.95,32920.2