z/h (z-axis),rms_w/k^0.5 (x-axis)
0.01,0.622217856
0.016666667,0.69473688
0.023333333,0.648639239
0.03,0.785557989
0.04,0.666132342
0.05,0.803584471
0.066666667,0.924930161
0.083333333,1.139554987
0.1,1.211072432
0.116666667,1.301012399
0.133333333,1.512098423
0.15,1.465500619
0.166666667,1.567810234
0.2,1.455327939
0.233333333,1.112544631
0.266666667,0.99608005
0.3,0.873304021
0.333333333,0.825046024
0.366666667,0.727630626
0.433333333,0.673615514
0.5,0.649221181
0.566666667,0.653006773
0.633333333,0.635622751
0.7,0.491467374
0.766666667,0.469832824
0.816666667,0.455225496
0.01,0.87391562
0.016666667,0.968470694
0.023333333,1.015543604
0.03,1.013011951
0.04,1.171176846
0.05,1.106108468
0.066666667,1.256739402
0.083333333,1.23614097
0.1,1.379077565
0.116666667,1.441769232
0.133333333,1.616461338
0.15,1.694894874
0.166666667,1.70628967
0.2,1.510308233
0.233333333,1.349094563
0.266666667,1.306341775
0.3,0.967653232
0.333333333,0.867218371
0.366666667,0.747836509
0.433333333,0.684293304
0.5,0.663905448
0.566666667,0.613939099
0.633333333,0.633801465
0.7,0.513492415
0.766666667,0.430569837
0.816666667,0.422129245
0.01,1.067526357
0.016666667,1.072892553
0.023333333,1.192460954
0.03,1.304049314
0.04,1.306194236
0.05,1.33113537
0.066666667,1.433103378
0.083333333,1.549814616
0.1,1.601401003
0.116666667,1.637684125
0.133333333,1.718659193
0.15,1.737562384
0.166666667,1.714900328
0.2,1.557420069
0.233333333,1.29361642
0.266666667,1.169915705
0.3,1.043627493
0.333333333,0.888032797
0.366666667,0.786359002
0.433333333,0.669305295
0.5,0.624533936
0.566666667,0.571175218
0.633333333,0.556923526
0.7,0.433314653
0.766666667,0.415757944
0.816666667,0.396527429
0.01,1.263305559
0.016666667,1.225286894
0.023333333,1.389054809
0.03,1.300507228
0.04,1.417680647
0.05,1.455952349
0.066666667,1.551383452
0.083333333,1.682350985
0.1,1.679786442
0.116666667,1.701139032
0.133333333,1.687081483
0.15,1.655404758
0.166666667,1.59034254
0.2,1.531838996
0.233333333,1.34970325
0.266666667,1.124534613
0.3,0.987955895
0.333333333,0.917111539
0.366666667,0.799441524
0.433333333,0.727115611
0.5,0.66733291
0.566666667,0.636239785
0.633333333,0.627800605
0.7,0.480692499
0.766666667,0.432867146
0.816666667,0.419592967
0.01,1.218149045
0.016666667,1.344683885
0.023333333,1.378731226
0.03,1.292081619
0.04,1.412083959
0.05,1.431932593
0.066666667,1.514257266
0.083333333,1.54223548
0.1,1.654514081
0.116666667,1.584119612
0.133333333,1.638531448
0.15,1.627339647
0.166666667,1.474966984
0.2,1.557161946
0.233333333,1.255523953
0.266666667,1.22990753
0.3,1.032517169
0.333333333,0.930274222
0.366666667,0.818072573
0.433333333,0.71371277
0.5,0.688487873
0.566666667,0.655852499
0.633333333,0.657982806
0.7,0.497251271
0.766666667,0.464401683
0.816666667,0.430393567
0.01,1.009817007
0.016666667,1.110798286
0.023333333,1.209418503
0.03,1.259002697
0.04,1.233729102
0.05,1.356962416
0.066666667,1.370337289
0.083333333,1.401201023
0.1,1.444304757
0.116666667,1.396552427
0.133333333,1.48441808
0.15,1.518558386
0.166666667,1.444297176
0.2,1.42634879
0.233333333,1.253066395
0.266666667,1.147470943
0.3,1.182237043
0.333333333,1.094501565
0.366666667,0.818737692
0.433333333,0.729915374
0.5,0.668904878
0.566666667,0.643976532
0.633333333,0.636190404
0.7,0.550889907
0.766666667,0.465936707
0.816666667,0.44088587
0.01,0.958653239
0.016666667,0.967643036
0.023333333,0.983382677
0.03,1.095481146
0.04,1.143051921
0.05,1.109908673
0.066666667,1.190598946
0.083333333,1.292279217
0.1,1.311755261
0.116666667,1.284763285
0.133333333,1.432773804
0.15,1.352914801
0.166666667,1.419414781
0.2,1.350649671
0.233333333,1.284218166
0.266666667,1.121715485
0.3,1.12403502
0.333333333,1.066420595
0.366666667,0.889398589
0.433333333,0.71154348
0.5,0.662122878
0.566666667,0.606758959
0.633333333,0.567451545
0.7,0.460508037
0.766666667,0.408223542
0.816666667,0.385534884
0.01,0.483840962
0.016666667,0.501730548
0.023333333,0.559353501
0.03,0.607048629
0.04,0.562383288
0.05,0.670524176
0.066666667,0.824013501
0.083333333,0.818833088
0.1,0.815786024
0.116666667,1.05197376
0.133333333,1.1254591
0.15,1.256341234
0.166666667,1.220008583
0.2,1.114534698
0.233333333,0.856273164
0.266666667,0.72565477
0.333333333,0.595912275
0.366666667,0.608309132
0.433333333,0.519576517
0.5,0.576731637
0.566666667,0.664282893
0.7,0.547151369
0.766666667,0.501013215
0.816666667,0.483551663
0.01,0.721002324
0.016666667,0.855159301
0.023333333,0.753540147
0.03,0.887146245
0.04,0.917020933
0.05,1.02341576
0.066666667,1.090376626
0.083333333,1.038007986
0.1,1.155127597
0.116666667,1.219710955
0.133333333,1.247385516
0.15,1.36084154
0.166666667,1.264649132
0.2,1.195654023
0.233333333,0.935368785
0.266666667,0.799241626
0.333333333,0.630571713
0.366666667,0.595333549
0.433333333,0.514161074
0.5,0.543094972
0.566666667,0.52103011
0.7,0.563550726
0.766666667,0.498726859
0.816666667,0.459058539
0.01,0.853762231
0.016666667,0.937214926
0.023333333,0.986345664
0.03,1.008942059
0.04,1.107335369
0.05,1.198966514
0.066666667,1.313733231
0.083333333,1.217077491
0.1,1.28000388
0.116666667,1.48661386
0.133333333,1.358938382
0.15,1.452532129
0.166666667,1.319985159
0.2,1.199365174
0.233333333,1.011804667
0.266666667,0.884987535
0.333333333,0.639935776
0.366666667,0.580356092
0.433333333,0.498729001
0.5,0.502157696
0.566666667,0.486757934
0.7,0.473004559
0.766666667,0.45732471
0.816666667,0.44307695
0.01,1.05619967
0.016666667,1.159362846
0.023333333,1.120614136
0.03,1.191226888
0.04,1.219056725
0.05,1.397173686
0.066666667,1.593393316
0.083333333,1.322028511
0.1,1.353655402
0.116666667,1.335389234
0.133333333,1.498451184
0.15,1.449957076
0.166666667,1.360126893
0.2,1.184259352
0.233333333,1.028025733
0.266666667,0.950410213
0.333333333,0.690395749
0.366666667,0.634920685
0.433333333,0.534189658
0.5,0.541644604
0.566666667,0.495726681
0.7,0.546015337
0.766666667,0.470032146
0.816666667,0.435627844
0.01,1.012137622
0.016666667,1.129621684
0.023333333,1.099724573
0.03,1.156813561
0.04,1.21720625
0.05,1.329897392
0.066666667,1.437600335
0.083333333,1.261484199
0.1,1.307511246
0.116666667,1.329486367
0.133333333,1.371023935
0.15,1.343964341
0.166666667,1.251615545
0.2,1.103847136
0.233333333,1.024099067
0.266666667,0.974533186
0.333333333,0.659142902
0.366666667,0.65989352
0.433333333,0.557996837
0.5,0.568081272
0.566666667,0.527748565
0.7,0.534170059
0.766666667,0.502781651
0.816666667,0.47638469
0.01,0.886562002
0.016666667,0.973709841
0.023333333,0.996369214
0.03,1.02567817
0.04,1.102049695
0.05,1.242812858
0.066666667,1.330070536
0.083333333,1.245197279
0.1,1.217825565
0.116666667,1.332447225
0.133333333,1.303142477
0.15,1.264689563
0.166666667,1.199387081
0.2,1.247990906
0.233333333,1.047742953
0.266666667,0.90037307
0.333333333,0.76618584
0.366666667,0.697241617
0.433333333,0.587997382
0.5,0.602749967
0.566666667,0.539104047
0.7,0.538402582
0.766666667,0.528284012
0.816666667,0.467910981
0.01,0.81104916
0.016666667,0.84975907
0.023333333,0.858165554
0.03,0.940497409
0.04,0.962578325
0.05,1.0865907
0.066666667,1.21038162
0.083333333,1.122449599
0.1,1.137651878
0.116666667,1.209707934
0.133333333,1.218609101
0.15,1.234892431
0.166666667,1.137606479
0.2,1.14372024
0.233333333,1.055250409
0.266666667,0.961755134
0.333333333,0.772443776
0.366666667,0.742622561
0.433333333,0.595242075
0.5,0.595049338
0.566666667,0.575476866
0.7,0.618475134
0.766666667,0.535635523
0.816666667,0.522858125
0.01,0.57075247
0.016666667,0.630375816
0.023333333,0.654285208
0.03,0.642660196
0.04,0.692675463
0.05,0.616145615
0.066666667,0.787785021
0.083333333,0.864612848
0.1,0.979287046
0.116666667,1.024656649
0.133333333,1.024392289
0.15,1.165363394
0.166666667,1.241257782
0.2,1.508773157
0.233333333,1.688375846
0.266666667,1.847771943
0.3,1.859291247
0.333333333,1.964884447
0.366666667,1.296316491
0.433333333,1.029326582
0.5,1.017728445
0.566666667,0.783031556
0.7,0.598929983
0.766666667,0.522518503
0.816666667,0.471173606
0.01,0.876456055
0.016666667,0.88816668
0.023333333,0.925112231
0.03,0.97768192
0.04,0.958675967
0.05,0.841736521
0.066666667,1.247517251
0.083333333,1.261199654
0.1,1.35577807
0.116666667,1.482220955
0.133333333,1.542940292
0.15,1.594058216
0.166666667,1.712041928
0.2,1.864154005
0.233333333,1.914496595
0.266666667,1.89034307
0.3,2.034012378
0.366666667,1.578590552
0.433333333,1.15897081
0.5,1.194766447
0.566666667,0.92689068
0.7,0.614009891
0.766666667,0.556189097
0.816666667,0.531566357
0.01,1.05702533
0.016666667,1.08895674
0.023333333,1.045017033
0.03,1.132126999
0.04,1.114049291
0.05,1.06591229
0.066666667,1.446955326
0.083333333,1.558991115
0.1,1.59828151
0.116666667,1.668265765
0.133333333,1.871218408
0.15,1.807108353
0.166666667,1.991286069
0.2,1.970900073
0.233333333,1.965938379
0.266666667,1.963994105
0.3,1.965701414
0.333333333,2.201454217
0.366666667,1.588055066
0.433333333,1.329068942
0.5,1.355319114
0.566666667,0.980558715
0.7,0.68443778
0.766666667,0.62139006
0.816666667,0.559761769
0.01,1.06573815
0.016666667,1.05652195
0.023333333,1.148549617
0.03,1.212077454
0.04,1.248965519
0.05,1.188648958
0.066666667,1.618786508
0.083333333,1.737375123
0.1,1.794801686
0.116666667,1.956268871
0.133333333,2.042365901
0.15,2.030066376
0.166666667,2.206331982
0.2,2.196904115
0.233333333,2.227021493
0.266666667,2.1271469
0.3,2.115445765
0.366666667,2.009194312
0.433333333,1.467775363
0.5,1.721654037
0.566666667,1.190605812
0.7,0.769108031
0.766666667,0.641875939
0.816666667,0.569713154
0.01,1.124938737
0.016666667,1.181122353
0.023333333,1.204994041
0.03,1.338622021
0.04,1.372834991
0.05,1.196130873
0.066666667,1.465271822
0.083333333,1.676223638
0.1,1.817675498
0.116666667,1.845093474
0.133333333,1.847846936
0.15,1.739303207
0.166666667,1.890932141
0.2,2.050709542
0.233333333,1.982136618
0.266666667,1.97211768
0.3,1.958274856
0.333333333,2.025333017
0.366666667,1.661847732
0.433333333,1.45619251
0.5,1.494213219
0.566666667,1.160213874
0.7,0.794725982
0.766666667,0.708858135
0.816666667,0.602061378
0.01,0.905246474
0.016666667,0.997008163
0.023333333,1.068917556
0.03,1.129436763
0.04,1.113912939
0.05,1.075135186
0.066666667,1.26867099
0.083333333,1.381677432
0.1,1.579353583
0.116666667,1.595926566
0.133333333,1.709613126
0.15,1.668438993
0.166666667,1.733019639
0.2,1.699612759
0.233333333,1.684220913
0.266666667,1.587198224
0.3,1.714522195
0.333333333,2.098326259
0.366666667,1.596508293
0.433333333,1.493483807
0.5,1.754228898
0.566666667,1.392066666
0.633333333,0.302349658
0.7,0.97917175
0.766666667,0.804677517
0.816666667,0.649208729
0.01,0.906155283
0.016666667,0.936288511
0.023333333,0.953403819
0.03,1.067653743
0.04,1.041147526
0.05,0.94038075
0.066666667,1.235037373
0.083333333,1.328538089
0.1,1.470751154
0.116666667,1.43523487
0.133333333,1.511700769
0.15,1.5484067
0.166666667,1.628380606
0.2,1.691984615
0.233333333,1.628321889
0.266666667,1.615658325
0.3,1.746614248
0.333333333,1.960299907
0.366666667,1.6061791
0.433333333,1.398941839
0.5,1.839493889
0.566666667,1.468307179
0.633333333,0.318678282
0.7,0.955651321
0.766666667,0.853014617
0.816666667,0.629375284
0.01,0.61346639
0.016666667,0.56607479
0.023333333,0.632827271
0.03,0.611256561
0.04,0.659538502
0.05,0.583158091
0.066666667,0.735053098
0.083333333,0.766325469
0.1,0.875932172
0.116666667,0.968851465
0.133333333,0.969577933
0.15,1.039198836
0.166666667,0.982675286
0.2,1.257252275
0.233333333,1.514542323
0.266666667,1.969777742
0.3,1.91866724
0.333333333,1.767737714
0.366666667,1.528247564
0.433333333,1.202001113
0.5,0.927907359
0.566666667,0.807093196
0.633333333,0.761793989
0.7,0.673457977
0.766666667,0.620164242
0.816666667,0.590877821
0.01,0.783044379
0.016666667,0.859672626
0.023333333,0.931596365
0.03,0.92758595
0.04,0.982696089
0.05,0.839595822
0.066666667,1.040661154
0.083333333,1.162206187
0.1,1.295450656
0.116666667,1.246508326
0.133333333,1.371544653
0.15,1.373634175
0.166666667,1.457734885
0.2,1.619674502
0.233333333,1.917823326
0.266666667,2.035004516
0.3,1.993222856
0.333333333,1.748333627
0.366666667,1.629316749
0.433333333,1.273907299
0.5,1.074789382
0.566666667,0.816271636
0.633333333,0.69439867
0.7,0.639530088
0.766666667,0.569399132
0.816666667,0.515857346
0.01,0.996437251
0.016666667,1.044141285
0.023333333,1.119142854
0.03,1.105796296
0.04,1.199453898
0.05,1.027446996
0.066666667,1.27615162
0.083333333,1.345473975
0.1,1.522171246
0.116666667,1.553137315
0.133333333,1.582853751
0.15,1.619970794
0.166666667,1.638400707
0.2,1.73708728
0.233333333,2.18260261
0.266666667,2.152450883
0.3,2.071991026
0.333333333,1.951105301
0.366666667,1.750781282
0.433333333,1.332882761
0.5,1.030088629
0.566666667,0.865701498
0.633333333,0.80827679
0.7,0.65508692
0.766666667,0.633458709
0.816666667,0.533286331
0.01,0.780700732
0.016666667,0.88508522
0.023333333,1.013412584
0.03,1.067131747
0.04,1.272152106
0.05,1.07E+00
0.066666667,1.286804181
0.083333333,1.43169824
0.1,1.764164616
0.116666667,1.832100689
0.133333333,1.824372389
0.15,0.831857062
0.166666667,1.873150865
0.2,2.115593335
0.233333333,2.099600908
0.266666667,2.159468115
0.3,2.074089846
0.333333333,2.002537221
0.366666667,1.975078129
0.433333333,1.653958662
0.5,1.285267001
0.566666667,1.091839743
0.633333333,0.977982028
0.7,0.862424852
0.766666667,0.785912887
0.816666667,0.660818997
0.01,1.056200377
0.016666667,1.170469679
0.023333333,1.108187686
0.03,1.255283161
0.04,1.213384609
0.05,1.197896018
0.066666667,1.51114237
0.083333333,1.582205451
0.1,1.624394168
0.116666667,1.634949453
0.133333333,1.933186725
0.15,1.860517229
0.166666667,1.937923117
0.2,1.900713239
0.233333333,1.992379646
0.266666667,1.840987721
0.3,1.964377924
0.333333333,1.921648901
0.366666667,1.936299645
0.433333333,1.570736874
0.5,1.311941923
0.566666667,1.104813622
0.633333333,1.052497804
0.7,0.809565092
0.766666667,0.657339718
0.816666667,0.609552797
0.01,0.958712613
0.016666667,1.048802749
0.023333333,1.064735675
0.03,1.076919543
0.04,1.115065271
0.05,1.059745478
0.066666667,1.267240849
0.083333333,1.360302895
0.1,1.411177441
0.116666667,1.461535984
0.133333333,1.514353311
0.15,1.616761612
0.166666667,1.734700023
0.2,1.771169759
0.233333333,1.833050904
0.266666667,1.863610207
0.3,1.787821276
0.333333333,1.627671282
0.366666667,1.913744028
0.433333333,1.731878913
0.5,1.489497316
0.566666667,1.286830256
0.633333333,1.080221206
0.7,0.920743429
0.766666667,0.77496462
0.816666667,0.644566764
0.01,0.876430923
0.016666667,0.937049385
0.023333333,0.98374273
0.03,1.032281816
0.04,1.034451302
0.05,0.920813392
0.066666667,1.148536062
0.083333333,1.3106254
0.1,1.412244603
0.116666667,1.429534718
0.133333333,1.615120576
0.15,1.576698894
0.166666667,1.610359178
0.2,1.659913001
0.233333333,1.800756473
0.266666667,1.851510162
0.3,1.854657443
0.333333333,1.853669207
0.366666667,1.869011723
0.433333333,1.882845582
0.5,1.62188348
0.566666667,1.457731187
0.633333333,1.189364964
0.7,0.955280995
0.766666667,0.768309187
0.816666667,0.695023118