z* (z-axis),Avg_u-umin/umax_umin (x-axis)
0.052916457,-0.158627317
0.088194096,-0.180530648
0.123471734,-0.177504451
0.158749372,-0.144631354
0.21166583,-0.139269665
0.264582287,-0.093989158
0.352776383,-0.087207248
0.440970479,0
0.529164575,0.027062888
0.617358671,0.072899979
0.705552767,0.158619124
0.793746862,0.258625429
0.881940958,0.345116257
1.05832915,0.576523042
1.234717342,0.758994036
1.411105533,0.808825999
1.587493725,0.843239828
1.763881917,0.870061411
1.940270108,0.884475567
2.293046492,0.909490449
2.645822875,0.931518786
2.998599258,0.975925662
3.351375641,0.992527552
3.704152025,0.984640702
4.056928408,1
4.321510696,0.999887766
0.054122018,-0.210505375
0.090203364,-0.175155972
0.12628471,-0.151716526
0.162366055,-0.177718015
0.216488074,-0.089771268
0.270610092,-0.059130595
0.360813456,0
0.451016821,0.042983296
0.541220185,0.095242463
0.631423549,0.176784603
0.721626913,0.247054203
0.811830277,0.298147416
0.902033641,0.40279477
1.082440369,0.581799867
1.262847098,0.726032448
1.443253826,0.817379707
1.623660554,0.847690383
1.804067282,0.860237918
1.984474011,0.889310119
2.345287467,0.909908738
2.706100924,0.932136489
3.06691438,0.951229052
3.427727836,0.949259755
3.788541293,0.982321416
4.149354749,0.996781062
4.419964842,1
0.052200005,-0.19389861
0.087000008,-0.20199299
0.121800011,-0.190819562
0.156600014,-0.129095593
0.208800019,-0.105666734
0.261000024,-0.09726711
0.348000032,0
0.435000039,0.026037263
0.522000047,0.118153716
0.609000055,0.169380412
0.696000063,0.231940211
0.783000071,0.339120319
0.870000079,0.384031503
1.044000095,0.539250984
1.218000111,0.686883373
1.392000126,0.772439408
1.566000142,0.817714326
1.740000158,0.862723644
1.914000174,0.878781194
2.262000205,0.91143788
2.610000237,0.933020512
2.958000268,0.965831609
3.3060003,0.943860623
3.654000332,0.985492494
4.002000363,0.99489413
4.263000387,1
0.056268425,-0.041225588
0.093780709,-0.040356854
0.131292992,-0.021695755
0.168805276,-0.008784678
0.225073701,0
0.281342127,0.066827252
0.375122836,0.099435065
0.468903544,0.144154161
0.562684253,0.196890218
0.656464962,0.263186661
0.750245671,0.330709977
0.84402638,0.390559516
0.937807089,0.468790377
1.125368507,0.562912376
1.312929925,0.646493866
1.500491342,0.710986938
1.68805276,0.778410107
1.875614178,0.81496342
2.063175596,0.847783206
2.438298431,0.872887086
2.813421267,0.918518997
3.188544102,0.938133447
3.563666938,0.99056887
3.938789774,0.980528242
4.313912609,0.992382302
4.595254736,1
0.048472224,0
0.080787039,0.025061835
0.113101855,0.034416365
0.145416671,0.017766894
0.193888895,0.076106509
0.242361118,0.085366484
0.323148158,0.125811751
0.403935197,0.175907047
0.484722237,0.218022969
0.565509276,0.257510184
0.646296315,0.315273433
0.727083355,0.34299566
0.807870394,0.42179398
0.969444473,0.477590018
1.131018552,0.596091401
1.292592631,0.646135608
1.45416671,0.714579371
1.615740789,0.739754465
1.777314867,0.770572495
2.100463025,0.833773008
2.423611183,0.877975785
2.746759341,0.934090144
3.069907498,1
3.393055656,0.988867691
3.716203814,0.999046467
3.958564932,0.992468731
0.042843116,0.01796546
0.071405193,0
0.09996727,0.0370868
0.128529348,0.013288022
0.171372464,0.078260618
0.214215579,0.033939469
0.285620773,0.082024718
0.357025966,0.121302128
0.428431159,0.145894308
0.499836352,0.226590774
0.571241545,0.256141198
0.642646738,0.300044728
0.714051931,0.329004061
0.856862318,0.443999872
0.999672704,0.499800991
1.14248309,0.586635319
1.285293477,0.602857264
1.428103863,0.698540274
1.570914249,0.745150068
1.856535022,0.815128182
2.142155794,0.862232881
2.427776567,0.90067369
2.71339734,0.9264668
2.999018112,0.964562754
3.284638885,0.991716033
3.498854464,1
0.040042877,0
0.066738129,0.003885237
0.09343338,0.019590691
0.120128632,0.024557611
0.160171509,0.024148874
0.200214386,0.025342059
0.266952514,0.093530144
0.333690643,0.107534926
0.400428772,0.144331188
0.4671669,0.185362941
0.533905029,0.192134528
0.600643158,0.240639062
0.667381286,0.283824964
0.800857543,0.370790394
0.934333801,0.453095994
1.067810058,0.548435319
1.201286315,0.58948788
1.334762572,0.670798536
1.46823883,0.720028105
1.735191344,0.801694301
2.002143858,0.870276418
2.269096373,0.915953377
2.536048887,0.921944886
2.803001402,0.976025863
3.069953916,0.995326298
3.270168302,1
0.053652065,-0.132944187
0.089420108,-0.12494287
0.125188152,-0.129233699
0.160956195,-0.100393251
0.21460826,-0.119966237
0.268260325,-0.060469155
0.357680434,-0.03306505
0.447100542,-0.006216192
0.53652065,0.010749196
0.625940759,0.122802216
0.715360867,0.146242772
0.804780976,0.265299085
0.894201084,0.356622144
1.073041301,0.598984994
1.251881518,0.767009555
1.430721734,0.815791789
1.609561951,0.828373224
1.788402168,0.84555119
1.967242385,0.869661915
2.324922818,0.897371597
2.682603252,0.908847941
3.040283686,0.986191843
3.397964119,0.952443834
3.755644553,0.97058591
4.113324986,0.985466081
4.381585312,1
0.054748103,-0.14910631
0.091246839,-0.135142951
0.127745575,-0.100201151
0.16424431,-0.093455579
0.218992414,-0.084541326
0.273740517,-0.048832807
0.364987356,0
0.456234195,0.045936006
0.547481034,0.089898262
0.638727873,0.174099026
0.729974712,0.274641273
0.821221551,0.32861682
0.91246839,0.419523943
1.094962068,0.587307578
1.277455747,0.732347536
1.459949425,0.797115865
1.642443103,0.826159833
1.824936781,0.850963673
2.007430459,0.868689714
2.372417815,0.893012965
2.737405171,0.914293473
3.102392527,0.935252051
3.467379883,0.997937166
3.83236724,0.973740792
4.197354596,0.989848089
4.471095113,1
0.053899492,-0.151481297
0.089832487,-0.109346081
0.125765482,-0.126071687
0.161698476,-0.115302098
0.215597968,-0.0661049
0.269497461,-0.028454818
0.359329947,0.010857365
0.449162434,0.057352438
0.538994921,0.171375584
0.628827408,0.179205123
0.718659895,0.274289701
0.808492382,0.354383743
0.898324869,0.405298372
1.077989842,0.572640822
1.257654816,0.685664186
1.43731979,0.772021151
1.616984764,0.829112613
1.796649737,0.843305394
1.976314711,0.861158773
2.335644659,0.890785373
2.694974606,0.923294089
3.054304554,0.941169437
3.413634501,0.946695588
3.772964449,0.979557963
4.132294396,0.991486185
4.401791857,1
0.055712381,0
0.092853968,0.015621559
0.129995555,-0.002646361
0.167137142,0.041090483
0.222849523,0.08766734
0.278561904,0.089223806
0.371415872,0.131448335
0.46426984,0.18153628
0.557123808,0.239848731
0.649977776,0.321095966
0.742831744,0.36235498
0.835685712,0.41283951
0.92853968,0.44432301
1.114247617,0.589013923
1.299955553,0.65747339
1.485663489,0.707443612
1.671371425,0.76947207
1.857079361,0.786160967
2.042787297,0.827472527
2.414203169,0.858110887
2.785619041,0.895479282
3.157034914,0.924552734
3.528450786,0.951077803
3.899866658,0.972089295
4.27128253,0.992484221
4.549844434,1
0.054105522,0.034036783
0.09017587,0
0.126246218,0.045358135
0.162316566,0.072957248
0.216422089,0.085402701
0.270527611,0.09314702
0.360703481,0.13732896
0.450879351,0.204939413
0.541055222,0.246651818
0.631231092,0.325210001
0.721406962,0.339434598
0.811582832,0.372377712
0.901758703,0.453519791
1.082110443,0.538848332
1.262462184,0.609095454
1.442813924,0.671522729
1.623165665,0.730338232
1.803517405,0.771722004
1.983869146,0.792585927
2.344572627,0.839216451
2.705276108,0.881533844
3.065979589,0.912399858
3.42668307,0.947844676
3.787386551,0.97037504
4.148090032,0.988458575
4.418617643,1
0.042280568,0
0.070467614,0.016641548
0.09865466,0.021298929
0.126841705,0.053379282
0.169122274,0.050825429
0.211402842,0.043853467
0.281870456,0.080708683
0.35233807,0.144459536
0.422805684,0.163150106
0.493273298,0.241121623
0.563740912,0.269031346
0.634208526,0.283989919
0.70467614,0.339907522
0.845611368,0.424422128
0.986546596,0.489810453
1.127481824,0.596554155
1.268417052,0.644206172
1.40935228,0.682016473
1.550287508,0.720758276
1.832157964,0.794386469
2.11402842,0.855607572
2.395898876,0.888550669
2.677769332,0.923932488
2.959639788,0.963976521
3.241510244,0.983737709
3.452913086,1
0.036623889,0.007020635
0.061039815,0
0.085455741,0.044237101
0.109871668,0.019833167
0.146495557,0.056729532
0.183119446,0.074312897
0.244159261,0.077845202
0.305199077,0.127643973
0.366238892,0.142970898
0.427278707,0.169875583
0.488318523,0.221749929
0.549358338,0.243262143
0.610398153,0.277496962
0.732477784,0.371840688
0.854557415,0.459618917
0.976637045,0.489677081
1.098716676,0.543617954
1.220796307,0.638793434
1.342875938,0.676825258
1.587035199,0.763603984
1.83119446,0.828209109
2.075353722,0.862155492
2.319512983,0.894619863
2.563672244,0.944614761
2.807831506,0.987960466
2.990950952,1
0.033024887,-0.146922907
0.055041479,-0.143540741
0.077058071,-0.121035778
0.099074662,-0.178903105
0.13209955,-0.180069955
0.165124437,-0.150988831
0.220165916,-0.137382782
0.275207395,-0.166044339
0.330248874,-0.135351432
0.385290354,-0.10921944
0.440331833,-0.012846826
0.495373312,-0.080546632
0.550414791,-0.067352872
0.660497749,0.057029389
0.770580707,0.160078112
0.880663665,0.300658268
0.990746623,0.487682384
1.100829582,0.634219121
1.21091254,0.809535937
1.431078456,0.892294239
1.651244372,0.92943749
1.871410289,0.953738538
2.091576205,0.970369927
2.311742121,0.991261895
2.531908038,0.993997798
2.697032475,1
0.032483969,-0.258378968
0.054139948,-0.281465942
0.075795927,-0.257055345
0.097451906,-0.236606456
0.129935874,-0.230604619
0.162419843,-0.237315146
0.21655979,-0.160977351
0.270699738,-0.158684626
0.324839686,-0.14117499
0.378979633,-0.091202192
0.433119581,-0.05044917
0.487259528,0
0.541399476,0.084948161
0.649679371,0.107173269
0.757959266,0.233212678
0.866239161,0.33612404
0.974519057,0.460162882
1.082798952,0.629448567
1.191078847,0.737477291
1.407638637,0.883438032
1.624198428,0.920826113
1.840758218,0.952473608
2.057318008,0.968047299
2.273877799,0.986075464
2.490437589,0.994592548
2.652857432,1
0.032572346,-0.255652249
0.054287243,-0.236994143
0.07600214,-0.233045967
0.097717037,-0.222882457
0.130289383,-0.223495111
0.162861729,-0.17500996
0.217148972,-0.157828409
0.271436215,-0.136462394
0.325723458,-0.12436004
0.3800107,-0.054697223
0.434297943,-0.025607913
0.488585186,0.006021584
0.542872429,0.041554864
0.651446915,0.178880134
0.760021401,0.268908882
0.868595887,0.395999103
0.977170373,0.470487257
1.085744858,0.610845697
1.194319344,0.735585339
1.411468316,0.842358207
1.628617288,0.901567981
1.845766259,0.946887646
2.062915231,0.970934685
2.280064203,0.987805447
2.497213175,1
2.660074903,0.999480575
0.031145335,-0.064067262
0.051908891,-0.075411162
0.072672447,-0.059482696
0.093436004,-0.064076806
0.124581338,-0.074175087
0.155726673,-0.012683758
0.207635564,-0.007257912
0.259544455,0.006032849
0.311453346,0.01293134
0.363362237,0.025609004
0.415271128,0.090684565
0.467180019,0.093183241
0.51908891,0.155502229
0.622906692,0.220316987
0.726724474,0.318735744
0.830542256,0.373852506
0.934360038,0.449354784
1.03817782,0.529456506
1.141995602,0.600177461
1.349631166,0.772740355
1.55726673,0.850473973
1.764902294,0.919415658
1.972537857,0.952140167
2.180173421,0.97154253
2.387808985,0.990948435
2.543535658,1
0.031871822,0
0.053119704,0.008653809
0.074367586,0.010354606
0.095615467,0.025517797
0.12748729,0.015786127
0.159359112,0.042002882
0.212478816,0.063436001
0.265598521,0.073877424
0.318718225,0.094851143
0.371837929,0.135498267
0.424957633,0.145529365
0.478077337,0.129257024
0.531197041,0.178128776
0.637436449,0.267122273
0.743675858,0.327541273
0.849915266,0.344066033
0.956154674,0.453053509
1.062394082,0.566807194
1.168633491,0.620162178
1.381112307,0.731894281
1.593591124,0.841144957
1.80606994,0.89294398
2.018548756,0.935344934
2.231027573,0.971942896
2.443506389,0.991995339
2.602865502,1
0.029286607,0
0.048811011,0.032069768
0.068335416,0.018597852
0.087859821,0.034505032
0.117146427,0.080175269
0.146433034,0.056679232
0.195244046,0.091520952
0.244055057,0.070437968
0.292866068,0.12565339
0.34167708,0.142895942
0.390488091,0.170873651
0.439299103,0.161584849
0.488110114,0.185150328
0.585732137,0.260619761
0.68335416,0.318190192
0.780976183,0.373776637
0.878598205,0.41301595
0.976220228,0.481599059
1.073842251,0.557139611
1.269086297,0.660922428
1.464330342,0.760491613
1.659574388,0.836494816
1.854818433,0.887769356
2.050062479,0.948721956
2.245306525,0.983025118
2.391739559,1
0.026607304,0.012054831
0.044345507,0.048580417
0.06208371,0
0.079821912,0.069875242
0.106429216,0.03263808
0.13303652,0.069724768
0.177382027,0.111520528
0.221727534,0.148532071
0.266073041,0.163904373
0.310418548,0.178456075
0.354764055,0.12026821
0.399109561,0.19394538
0.443455068,0.224473136
0.532146082,0.236428782
0.620837095,0.297843354
0.709528109,0.298317423
0.798219123,0.337791166
0.886910136,0.428374273
0.97560115,0.479608524
1.152983177,0.627856548
1.330365205,0.729104371
1.507747232,0.842188232
1.685129259,0.871113713
1.862511286,0.938621124
2.039893314,0.975969882
2.172929834,1
0.032940859,-0.10779472
0.054901432,-0.111292336
0.076862005,-0.129788897
0.098822578,-0.141560554
0.131763437,-0.131635927
0.164704297,-0.13050694
0.219605729,-0.111321287
0.274507161,-0.1274675
0.329408594,-0.121647944
0.384310026,-0.088356094
0.439211458,-0.046696567
0.49411289,0
0.549014323,0.022881776
0.658817187,0.090283299
0.768620052,0.18196432
0.878422916,0.334145791
0.988225781,0.479247541
1.098028645,0.672778798
1.20783151,0.79662059
1.427437239,0.884446735
1.647042968,0.920086096
1.866648697,0.938417587
2.086254426,0.95802931
2.305860155,0.9800065
2.525465884,0.992036236
2.69017018,1
0.033398606,-0.234057206
0.055664344,-0.205563164
0.077930081,-0.186682684
0.100195819,-0.225900258
0.133594425,-0.193957018
0.166993031,-0.146563736
0.222657375,-0.164501373
0.278321719,-0.114670818
0.333986062,-0.061652688
0.389650406,-0.021176345
0.44531475,-0.020694572
0.500979094,0.035721786
0.556643437,0.031775762
0.667972125,0.15312763
0.779300812,0.286271109
0.8906295,0.385758651
1.001958187,0.502045396
1.113286875,0.663020169
1.224615562,0.769990289
1.447272937,0.873741342
1.669930312,0.906309316
1.892587687,0.950304395
2.115245062,0.966551603
2.337902437,0.980426474
2.560559812,0.991864622
2.727552843,1
0.033691822,-0.212497864
0.056153037,-0.210305974
0.078614252,-0.153907262
0.101075467,-0.201165854
0.13476729,-0.166487797
0.168459112,-0.169048649
0.224612149,-0.125775915
0.280765187,-0.107537885
0.336918224,-0.076219301
0.393071261,-0.025151704
0.449224299,0.00E+00
0.505377336,0.053079074
0.561530374,0.122570053
0.673836448,0.166814255
0.786142523,0.301706295
0.898448598,0.376694521
1.010754672,0.51305851
1.123060747,0.61205765
1.235366822,0.742983535
1.459978971,0.872922217
1.684591121,0.916431079
1.90920327,0.933799484
2.133815419,0.960757718
2.358427569,0.978957232
2.583039718,0.984543391
2.75149883,1
0.033692558,-0.06495172
0.056154263,-0.060739272
0.078615969,-0.075853338
0.101077674,-0.036747018
0.134770232,-0.015403022
0.16846279,-0.012278088
0.224617053,-0.019402444
0.280771317,0
0.33692558,0.083721169
0.393079844,0.121160462
0.449234107,0.124548254
0.50538837,0.050193412
0.561542634,0.179728604
0.67385116,0.245356875
0.786159687,0.336068182
0.898468214,0.390925946
1.01077674,0.511577288
1.123085267,0.565858301
1.235393794,0.627815636
1.460010847,0.76623778
1.684627901,0.847817759
1.909244954,0.893824955
2.133862008,0.92502308
2.358479061,0.961630977
2.583096115,0.982181124
2.751558905,1
0.034229706,0
0.05704951,0.024422767
0.079869313,0.001084542
0.102689117,0.050768718
0.136918823,0.047212427
0.171148529,0.064957844
0.228198038,0.09244537
0.285247548,0.117905777
0.342297058,0.131443782
0.399346567,0.168407202
0.456396077,0.20577403
0.513445586,0.244035505
0.570495096,0.265706205
0.684594115,0.297724824
0.798693135,0.397434818
0.912792154,0.418912129
1.026891173,0.525004034
1.140990192,0.592182636
1.255089211,0.656567235
1.48328725,0.775966818
1.711485288,0.85562634
1.939683327,0.912463888
2.167881365,0.967198508
2.396079404,0.984387119
2.624277442,0.989024085
2.795425971,1
0.030881011,0.006108571
0.051468352,0.021651954
0.072055693,0
0.092643034,0.027374975
0.123524045,0.046817162
0.154405056,0.054334183
0.205873408,0.066230755
0.25734176,0.085050652
0.308810112,0.111840557
0.360278465,0.126273138
0.411746817,0.156674877
0.463215169,0.177129002
0.514683521,0.194289176
0.617620225,0.220567459
0.720556929,0.30366478
0.823493633,0.384053714
0.926430337,0.445302198
1.029367042,0.519446665
1.132303746,0.581581159
1.338177154,0.694649865
1.544050562,0.794239468
1.749923971,0.870776743
1.955797379,0.905733999
2.161670787,0.950443238
2.367544196,0.981612511
2.521949252,1
0.027842827,0.023543218
0.046404711,0.006768911
0.064966596,0.022812169
0.08352848,0.000825209
0.111371307,0.019928945
0.139214134,0
0.185618845,0.023821445
0.232023556,0.052858778
0.278428267,0.086843369
0.324832978,0.089443682
0.37123769,0.112236287
0.417642401,0.135239916
0.464047112,0.157615318
0.556856534,0.208354393
0.649665957,0.250275361
0.742475379,0.262791001
0.835284802,0.409712478
0.928094224,0.447008373
1.020903646,0.515405136
1.206522491,0.618537595
1.392141336,0.751603267
1.577760181,0.823276826
1.763379026,0.908174476
1.94899787,0.969630151
2.134616715,0.994162605
2.273830849,1