z* (z-axis),tke-tkemin/tkemax_tkemin (x-axis)
0.0417465,0.305958143
0.0695775,0.323634665
0.0974085,0.282164753
0.1252395,0.325334569
0.166986,0.313391188
0.2087325,0.351516358
0.27831,0.490624123
0.3478875,0.593423601
0.417465,0.638300036
0.4870425,0.725707309
0.55662,0.907915853
0.6261975,0.98383197
0.695775,1
0.83493,0.941603761
0.9740849,0.532209871
1.1132399,0.359253884
1.2523949,0.221228014
1.3915499,0.150129018
1.5307049,0.11922815
1.8090149,0.080297535
2.0873249,0.051707593
2.6439448,0.037663746
2.9222548,0.010736451
3.2005648,0.004320037
3.4092973,0
0.0445657,0.291775993
0.0742762,0.253520206
0.1039867,0.291976438
0.1336972,0.301904932
0.1782629,0.299296678
0.2228286,0.325457368
0.2971049,0.358983078
0.3713811,0.41375268
0.4456573,0.483216187
0.5199335,0.655356151
0.5942097,0.760023109
0.6684859,0.892092555
0.7427621,1
0.8913146,0.838793673
1.039867,0.375726889
1.1884194,0.205922023
1.3369718,0.16169849
1.4855243,0.114876519
1.6340767,0.105830153
1.9311815,0.064273275
2.5253912,0.070278726
2.8224961,0.043947267
3.1196009,0.012043933
3.4167058,0.002735927
3.6395344,0
0.0271194,0.213171165
0.0451989,0.290338695
0.0632785,0.241730962
0.0813581,0.210871432
0.1084775,0.267067307
0.1355968,0.292207849
0.1807958,0.319325065
0.2259947,0.274478234
0.2711937,0.307842858
0.3163926,0.336984185
0.3615916,0.343003254
0.4067905,0.454541051
0.4519895,0.572699999
0.5423874,0.573944733
0.6327853,0.699504197
0.7231832,0.887127264
0.8135811,1
0.903979,0.816598149
0.9943769,0.509011665
1.1751727,0.219267378
1.3559685,0.103305009
1.5367642,0.058588758
1.71756,0.047024331
1.8983558,0.057573449
2.0791516,0.002334129
2.2147485,0
0.0277277,0.243975701
0.0462128,0.238814579
0.064698,0.221629691
0.0831831,0.236420541
0.1109108,0.261010381
0.1386385,0.269503119
0.1848514,0.300979884
0.2310642,0.268148341
0.2772771,0.306218609
0.3234899,0.33549089
0.3697027,0.320208167
0.4159156,0.339972086
0.4621284,0.47849711
0.5545541,0.456863806
0.6469798,0.650221481
0.7394055,0.588312741
0.8318312,1
0.9242569,0.768397889
1.0166826,0.440884882
1.2015339,0.147351549
1.3863853,0.066855947
1.5712367,0.030706899
1.7560881,0.026017799
1.9409394,0.012380111
2.2644293,0
0.0382058,0.45545306
0.0636763,0.530862507
0.0891468,0.554013026
0.1146173,0.537537458
0.1528231,0.686679627
0.1910289,0.616213692
0.2547052,0.77585735
0.3183815,0.76617743
0.3820578,0.893276802
0.4457341,0.85184406
0.5094104,0.944430549
0.5730867,0.996227889
0.636763,1
0.7641156,0.913938136
0.8914682,0.624524005
1.0188208,0.478405905
1.1461734,0.248497019
1.273526,0.201040611
1.4008786,0.133501177
1.6555839,0.092719167
1.9102891,0.062286646
2.4196995,0.051860395
2.6744047,0.018029395
2.9291099,0.004015133
3.1201388,0
0.0428479,0.454177996
0.0714132,0.489072602
0.0999785,0.566801528
0.1285438,0.564245646
0.1713917,0.602509387
0.2142396,0.643388708
0.2856528,0.676873625
0.357066,0.707381243
0.4284792,0.820146158
0.4998924,0.790541663
0.5713056,0.835500055
0.6427188,1
0.714132,0.926283553
0.8569584,0.810696913
0.9997848,0.500267963
1.1426112,0.322416948
1.2854376,0.192890741
1.428264,0.15725856
1.5710904,0.171884604
1.8567432,0.118366442
2.4280488,0.036918267
2.7137016,0.063553334
2.9993544,0.020942736
3.2850072,0.005888798
3.4992468,0
0.0273592,0.33613552
0.0455986,0.330170223
0.0638381,0.346052577
0.0820775,0.3762745
0.1094367,0.384602321
0.1367959,0.515944781
0.1823945,0.551259529
0.2279932,0.503614535
0.2735918,0.569206013
0.3191904,0.63095792
0.3647891,0.618329179
0.4103877,0.68683182
0.4559863,0.715547328
0.5471836,0.780378902
0.6383809,0.899952242
0.7295781,1
0.8207754,0.934558496
0.9119727,0.746291649
1.0031699,0.491130806
1.1855645,0.212191557
1.367959,0.096290824
1.5503536,0.040234596
1.7327481,0.041838127
1.9151426,0.008609154
2.0975372,0.000898494
2.2343331,0
0.0266134,0.371639402
0.0443556,0.376165485
0.0620978,0.407260202
0.0798401,0.387379862
0.1064534,0.47018931
0.1330668,0.428748095
0.1774224,0.43979522
0.221778,0.561839926
0.2661336,0.60326631
0.3104892,0.604032005
0.3548448,0.671702987
0.3992004,0.728315559
0.443556,0.753327328
0.5322672,0.847780925
0.6209784,0.96834458
0.7096895,1
0.7984007,0.970238964
0.8871119,0.709092141
0.9758231,0.542447612
1.1532455,0.230945175
1.3306679,0.120707435
1.5080903,0.043591194
1.6855127,0.019880366
1.8629351,0.01068183
2.0403574,0.020309349
2.1734242,0
0.0421905,0.595329673
0.0703175,0.658083302
0.0984445,0.693412121
0.1265715,0.76206615
0.168762,0.825729434
0.2109525,0.873642004
0.2812699,0.890709924
0.3515874,0.9648032
0.4219049,0.989646586
0.4922224,1
0.5625399,0.971149812
0.6328574,0.970650152
0.7031749,0.952757601
0.8438098,0.888738353
0.9844448,0.568319727
1.1250798,0.407198014
1.2657147,0.259431275
1.4063497,0.183465745
1.5469847,0.134696046
1.8282546,0.077962132
2.1095246,0.05124897
2.3907945,0.029043093
2.6720645,0.038128667
2.9533344,0.008409038
3.2346043,0.002084928
3.4455568,0
0.0425582,0.701223612
0.0709303,0.774443958
0.0993025,0.788504816
0.1276746,0.729839689
0.1702328,0.83542996
0.212791,0.765917103
0.2837214,0.828944679
0.3546517,0.818469485
0.4255821,0.829182365
0.4965124,0.960499281
0.5674428,0.833241276
0.6383731,1
0.7093035,0.910750243
0.8511642,0.747804665
0.9930249,0.509115475
1.1348856,0.323724219
1.2767463,0.193262398
1.418607,0.240239868
1.5604677,0.201761182
1.844189,0.101239518
2.4116318,0.033040645
2.6953532,0.037763651
2.9790746,0.010142047
3.262796,0.001509103
3.4755871,0
0.0263915,0.432656976
0.0439859,0.454602518
0.0615802,0.445107529
0.0791746,0.422921842
0.1055661,0.44809049
0.1319576,0.602960698
0.1759435,0.734222578
0.2199293,0.711467449
0.2639152,0.694613661
0.3079011,0.756226872
0.3518869,0.867548259
0.3958728,0.916448822
0.4398587,0.88168586
0.5278304,0.991722697
0.6158022,1
0.7037739,0.963904898
0.7917456,0.92856017
0.8797174,0.813223691
0.9676891,0.546602486
1.1436326,0.29283662
1.319576,0.137330186
1.4955195,0.053750179
1.671463,0.026642384
1.8474065,0.013711543
2.0233499,0.004189644
2.1553075,0
0.0282042,0.421725838
0.047007,0.425905642
0.0658098,0.443408865
0.0846126,0.453464978
0.1128168,0.49283814
0.141021,0.482335378
0.1880279,0.532233055
0.2350349,0.631870323
0.2820419,0.622727025
0.3290489,0.722001198
0.3760559,0.740925675
0.4230629,0.753943104
0.4700698,0.822885949
0.5640838,0.890346506
0.6580978,1
0.7521118,0.91280464
0.8461257,0.848315874
0.9401397,0.653571383
1.0341537,0.412378935
1.2221816,0.16463766
1.4102095,0.072949219
1.5982375,0.041461267
1.7862654,0.02682194
1.9742933,0.01047476
2.1623213,0.005344455
2.3033422,0
0.0410914,0.650111143
0.0684857,0.610572485
0.0958799,0.71771047
0.1232742,0.749975086
0.1643656,0.813400712
0.205457,0.837253084
0.2739426,0.905117078
0.3424283,0.982559094
0.4109139,0.963768991
0.4793996,1
0.5478852,0.965959842
0.6163709,0.927624516
0.6848565,0.854494967
0.8218278,0.777590825
0.9587991,0.559625631
1.0957704,0.361401759
1.2327417,0.232680786
1.369713,0.165049684
1.5066843,0.119748305
1.7806269,0.095037248
2.0545695,0.060726741
2.6024547,0.038445541
2.8763973,0.015370197
3.1503399,0.004855218
3.3557969,0
0.0507451,0.598161718
0.0845752,0.640623324
0.1184053,0.645196534
0.1522354,0.712919679
0.2029806,0.733439006
0.2537257,0.795874086
0.338301,1
0.4228762,0.820027319
0.5074515,0.790449146
0.5920267,0.65854295
0.676602,0.812062425
0.7611772,0.713166362
0.8457525,0.66592416
1.014903,0.483968886
1.1840534,0.388734822
1.3532039,0.278474329
1.5223544,0.162244506
1.6915049,0.13247837
1.8606554,0.099206469
2.5372574,0.040048662
2.8755584,0.025990481
3.2138593,0.043098123
3.5521603,0.014257576
3.8904613,0.0032043
4.1441871,0
0.0245013,0.484952846
0.0408355,0.54130876
0.0571698,0.567037996
0.073504,0.506180244
0.0980053,0.493709575
0.1225066,0.607345979
0.1633422,0.677764038
0.2041777,0.598960315
0.2450133,0.604866643
0.2858488,0.677926102
0.3266844,0.790941446
0.3675199,0.847736662
0.4083555,0.944831869
0.4900266,0.999195817
0.5716977,1
0.6533688,0.981846913
0.7350399,0.87276248
0.816711,0.79741632
0.8983821,0.728617225
1.0617243,0.361134372
1.2250665,0.209302888
1.3884087,0.073667715
1.5517509,0.051401823
1.7150931,0.018339985
1.8784353,0.004261661
2.0009419,0
0.0250096,0.417672114
0.0416826,0.443563935
0.0583557,0.363098979
0.0750287,0.513355828
0.1000383,0.571374396
0.1250478,0.54624028
0.1667304,0.479424042
0.208413,0.550705928
0.2500956,0.766536033
0.2917783,0.766061933
0.3334609,0.763940292
0.3751435,0.756475723
0.4168261,0.903264381
0.5001913,1
0.5835565,0.994707055
0.6669217,0.912482936
0.7502869,0.85137622
0.8336522,0.774169774
0.9170174,0.668886347
1.0837478,0.329556359
1.2504782,0.141977097
1.4172087,0.069314784
1.5839391,0.048863256
1.7506695,0.020801283
1.9174,0.007678368
2.0424478,0
0.0407418,0.747185151
0.0679031,0.791714246
0.0950643,0.794584845
0.1222255,0.769596825
0.1629674,0.780055029
0.2037092,0.878851294
0.2716123,1
0.3395153,0.963679044
0.4074184,0.980170017
0.4753215,0.962960849
0.5432245,0.940793736
0.6111276,0.916761329
0.6790307,0.875473787
0.8148368,0.829712429
0.950643,0.540218078
1.0864491,0.429557843
1.2222552,0.288166201
1.3580614,0.213870961
1.4938675,0.141959602
1.7654798,0.090859216
2.0370921,0.061908633
2.5803166,0.027736689
2.8519289,0.032323757
3.1235411,0.005129092
3.3272504,0
0.0454385,0.671340013
0.0757308,0.731864358
0.1060232,0.716770515
0.1363155,0.777644634
0.181754,0.81342956
0.2271925,1
0.3029234,0.857228098
0.3786542,0.844056834
0.454385,0.85832829
0.5301159,0.838451629
0.6058467,0.866705966
0.6815776,0.842498557
0.7573084,0.73737343
0.9087701,0.579510673
1.0602318,0.447505525
1.3631551,0.211924949
1.5146168,0.154233857
1.6660785,0.126289654
1.9690018,0.079902695
2.5748485,0.038854409
2.8777719,0.090419768
3.1806953,0.019214757
3.4836186,0.008410424
3.7108111,0
0.0243641,0.546364425
0.0406068,0.597729236
0.0568495,0.603215592
0.0730922,0.610451213
0.0974563,0.634033539
0.1218203,0.65915518
0.1624271,0.661853337
0.2030339,0.728476164
0.2436407,0.827922221
0.2842474,0.808655469
0.3248542,0.845073701
0.365461,0.793216979
0.4060678,0.86860355
0.4872813,0.942898112
0.5684949,0.958846144
0.6497084,1
0.730922,0.891941878
0.8121355,0.78503374
0.8933491,0.646872282
1.0557762,0.423188905
1.2182033,0.20424564
1.3806304,0.090696621
1.5430575,0.044326282
1.7054846,0.035174718
1.8679117,0.008807692
1.989732,0
0.0250122,0.501756621
0.041687,0.507026922
0.0583618,0.459732652
0.0750366,0.575158145
0.1000487,0.579079016
0.1250609,0.651082976
0.1667479,0.726672845
0.2084349,0.782649174
0.2501218,0.788715766
0.2918088,0.773323545
0.3334958,0.949580476
0.3751828,0.942426095
0.4168697,0.916405124
0.5002437,0.955094115
0.5836176,0.924552741
0.6669916,1
0.7503655,0.836137372
0.8337395,0.716908615
0.9171134,0.634960227
1.0838613,0.363452577
1.2506092,0.165171062
1.4173571,0.079042441
1.584105,0.076057374
1.7508529,0.034918738
1.9176008,0.004985068
2.0426618,0
0.0356417,0.729515705
0.0594028,0.718996028
0.0831639,0.776741368
0.1069251,0.831047253
0.1425667,0.793994303
0.1782084,0.81025824
0.2376112,0.85943487
0.297014,0.865823406
0.3564168,0.952000796
0.4158197,0.865854834
0.4752225,0.878137386
0.5346253,1
0.5940281,0.907397673
0.7128337,0.80217476
0.8316393,0.642767082
0.9504449,0.526176929
1.0692505,0.463419154
1.1880562,0.318893064
1.3068618,0.168408087
1.544473,0.114272915
1.7820842,0.072387266
2.0196955,0.050398027
2.4949179,0.025063753
2.7325292,0.004712105
2.9107376,0
0.035533,0.762890285
0.0592217,0.798149226
0.0829104,0.792401202
0.106599,0.855869346
0.1421321,0.835983772
0.1776651,0.850919493
0.2368868,0.89124608
0.2961085,0.988010324
0.3553301,0.946496674
0.4145518,1
0.4737735,0.966883932
0.5329952,0.861242949
0.5922169,0.813150146
0.7106603,0.797948944
0.8291037,0.608612489
0.947547,0.625042164
1.0659904,0.342685952
1.1844338,0.284021339
1.3028772,0.214292033
1.539764,0.129718341
1.7766507,0.085886107
2.0135375,0.057967906
2.487311,0.022645074
2.7241978,0.011966741
2.9018628,0
0.0207154,0.530650862
0.0345257,0.642808586
0.048336,0.642578559
0.0621463,0.672833787
0.0828617,0.75893084
0.1035772,0.815966707
0.1381029,0.667360765
0.1726286,0.755838792
0.2071543,0.86144004
0.24168,0.909683516
0.2762057,0.941520639
0.3107315,0.948659097
0.3452572,1
0.4143086,0.973777647
0.48336,0.939453721
0.5524115,0.988441858
0.6214629,0.961873777
0.6905143,0.974982017
0.7595658,0.845157364
0.8976687,0.666782159
1.0357715,0.441698688
1.1738744,0.185667742
1.3119773,0.127611482
1.4500801,0.086618216
1.588183,0.015170604
1.6917602,0
0.0243267,0.518692933
0.0405445,0.515972765
0.0567623,0.588477404
0.0729802,0.565147214
0.0973069,0.53407746
0.1216336,0.589014219
0.1621781,0.581914502
0.2027227,0.614888997
0.2432672,0.636683167
0.2838117,0.699306814
0.3243563,0.672090994
0.3649008,0.756148323
0.4054453,0.804050159
0.4865344,0.810360764
0.5676235,0.831351584
0.6487126,1
0.7298016,0.764641091
0.8108907,0.686098898
0.8919798,0.666549955
1.0541579,0.416497151
1.216336,0.255432543
1.3785142,0.139525343
1.5406923,0.09644373
1.7028705,5.03E-02
1.8650486,0.008381338
1.9866822,0
0.0342478,0.734045043
0.0570796,0.7463798
0.0799115,0.736205459
0.1027433,0.802369438
0.1369911,0.826063112
0.1712389,0.76850085
0.2283185,0.891472159
0.2853982,0.901469162
0.3424778,0.879182552
0.3995575,0.885165841
0.4566371,0.942745615
0.5137167,1
0.5707964,0.941401433
0.6849556,0.860740838
0.7991149,0.76648878
0.9132742,0.592211829
1.0274334,0.470831197
1.1415927,0.392147961
1.255752,0.253162387
1.4840705,0.128229117
1.7123891,0.081824298
1.9407076,0.042656167
2.1690262,0.046242903
2.3973447,0.016400645
2.6256633,0.003874149
2.7969022,0
0.0351212,0.624598866
0.0585353,0.586457626
0.0819494,0.63162905
0.1053636,0.643631499
0.1404848,0.673694244
0.175606,0.830973656
0.2341413,0.731622214
0.2926766,0.747244611
0.3512119,0.749164539
0.4097472,1
0.4682826,0.807665589
0.5268179,0.724821498
0.5853532,0.682103858
0.7024238,0.640933117
0.8194945,0.53478
0.9365651,0.650591439
1.0536358,0.37267116
1.1707064,0.254766486
1.2877771,0.215661715
1.5219183,0.124491951
1.7560596,0.072916993
1.9902009,0.054473634
2.2243422,0.037293978
2.4584835,0.02760175
2.6926248,0.005786864
2.8682307,0
0.0213589,0.580898019
0.0355981,0.615974784
0.0498373,0.594139077
0.0640766,0.69122886
0.0854354,0.658416833
0.1067943,0.710536558
0.1423924,0.760467502
0.1779905,0.799607494
0.2135886,0.884159471
0.2491867,0.805151085
0.2847848,0.899923467
0.3203829,0.874085773
0.355981,0.92050518
0.4271772,0.937885074
0.4983735,0.91930266
0.5695697,1
0.6407659,0.947467889
0.7119621,0.883731416
0.7831583,0.917481584
0.9255507,0.588841774
1.0679431,0.418922196
1.2103355,0.235328488
1.3527279,0.190384365
1.4951204,0.067003444
1.6375128,0.023163238
1.7443071,0
0.0203423,0.636512636
0.0339039,0.642131734
0.0474654,0.680164413
0.061027,0.657682584
0.0813693,0.709169022
0.1017116,0.661118888
0.1356155,0.707067576
0.1695193,0.810982064
0.2034232,0.81769935
0.2373271,0.873867656
0.2712309,0.916830157
0.3051348,0.893620561
0.3390387,0.938028394
0.4068464,0.902298679
0.4746542,1
0.5424619,0.963327323
0.6102696,0.970428184
0.6780774,0.986134519
0.7458851,0.856958945
0.8815006,0.720070884
1.0171161,0.468212966
1.1527315,0.26228188
1.288347,0.127649572
1.4239625,0.064850382
1.5595779,0.005470102
1.6612896,0